id;slug;name;short_name;first_name;last_name;position;height;country;date_of_birth;source;source_ref;first_scraped_at;last_scraped_at;created_at;updated_at
01KNDAWE7QHTJ60TD9R9AB3HHB;hulk;Hulk;Hulk;;;F;180;01KNDAWE6ZYSSJRVV5EMGMPBWY;1986-07-25;sofascore;34705;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7QMT6CADPRKGPJ9ZC2;igor-gomes;Igor Gomes;I. Gomes;;;M;182;01KNDAWE6ZYSSJRVV5EMGMPBWY;1999-03-17;sofascore;913598;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7QN64VXCCYSPT88KWR;mamady-cisse;Mamady Cissé;M. Cissé;;;M;184;01KNDAWE733GEJKF15FE8ZH7N9;2007-01-01;sofascore;2155474;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7QP4Q5BF6PQGA6GSKS;alan-minda;Alan Minda;A. Minda;;;F;171;01KNDAWE72KF1R0DSM6W133GX2;2003-05-14;sofascore;1122552;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z
01KNDAWE7QPV671DG1X5GFM6GC;renan-lodi;Renan Lodi;R. Lodi;;;D;173;01KNDAWE6ZYSSJRVV5EMGMPBWY;1998-04-08;sofascore;851150;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7QQJJQHVZCJE0S4DBP;alan-franco;Alan Franco;A. Franco;;;M;174;01KNDAWE72KF1R0DSM6W133GX2;1998-08-21;sofascore;822729;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7QTG10A30J0WY452SV;bernard;Bernard;Bernard;;;M;164;01KNDAWE6ZYSSJRVV5EMGMPBWY;1992-09-08;sofascore;241488;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7QVCG5FKSTX8T288NV;vitor-hugo;Vitor Hugo;V. Hugo;;;D;187;01KNDAWE6ZYSSJRVV5EMGMPBWY;1991-05-20;sofascore;794838;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7QYP2B6W09CCBK6TSY;dudu;Dudu;Dudu;;;F;167;01KNDAWE6ZYSSJRVV5EMGMPBWY;1992-01-07;sofascore;147464;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7R04SEFC3FANK49R42;marlon-freitas;Marlon Freitas;M. Freitas;;;M;185;01KNDAWE6ZYSSJRVV5EMGMPBWY;1995-03-27;sofascore;840202;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T22:47:40.536Z
01KNDAWE7R29RT92D47VF8BB96;allan;Allan;Allan;Allan;;M;175;01KNDAWE6ZYSSJRVV5EMGMPBWY;2004-04-19;sofascore;1835889;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T22:47:40.536Z
01KNDAWE7R2KF2A5QV1FVY7458;joaquin-piquerez;Joaquín Piquerez;J. Piquerez;;;D;183;01KNDAWE73AT2NMCQGRWAZM40H;1998-08-24;sofascore;881110;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T22:47:40.536Z
01KNDAWE7R3MS6EQCHAW7F1XP5;ramon-sosa;Ramón Sosa;R. Sosa;;;F;178;01KNDAWE72WDG4511TFAHRP1QP;1999-08-31;sofascore;1015733;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T22:47:40.537Z
01KNDAWE7R6M0GB6WS3DVM3HGK;indio;Índio;Índio;Hendel;dos Santos Nascimento;M;180;01KNDAWE6ZYSSJRVV5EMGMPBWY;2008-04-02;sofascore;1829023;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z
01KNDAWE7R9GD8HXS5PRJVHNVV;natanael;Natanael;Natanael;;;D;172;01KNDAWE6ZYSSJRVV5EMGMPBWY;2002-01-05;sofascore;1046805;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T22:47:40.536Z
01KNDAWE7RDCHXPHFCZ1D7B2QY;angelo-preciado;Ángelo Preciado;Á. Preciado;;;M;178;01KNDAWE72KF1R0DSM6W133GX2;1998-02-18;sofascore;881844;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T22:47:40.536Z
01KNDAWE7RETG7T6MGSPG9SVXP;carlos-miguel;Carlos Miguel;C. Miguel;;;G;204;01KNDAWE6ZYSSJRVV5EMGMPBWY;1998-10-09;sofascore;973738;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T22:47:40.536Z
01KNDAWE7RGAGF26T061DWZXDA;andreas-pereira;Andreas Pereira;A. Pereira;;;M;177;01KNDAWE6ZYSSJRVV5EMGMPBWY;1996-01-01;sofascore;285949;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T22:47:40.536Z
01KNDAWE7RH18Q9S0DFHS1D3AW;gabriel-delfim;Gabriel Delfim;G. Delfim;Gabriel Delfim;;G;192;01KNDAWE6ZYSSJRVV5EMGMPBWY;2002-07-10;sofascore;1117032;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T22:47:40.536Z
01KNDAWE7RJMG2C40QHQ302RM1;ivan-roman;Iván Román;I. Román;Iván Román;;D;183;01KNDAWE731VNKMF8C9K2XMN0N;2006-07-12;sofascore;1464929;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T22:47:40.536Z
01KNDAWE7RNXM6SDRMS9JZSXQQ;murilo;Murilo;Murilo;;;D;188;01KNDAWE6ZYSSJRVV5EMGMPBWY;1997-03-27;sofascore;874729;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T22:47:40.536Z
01KNDAWE7RP8M1R02T7729AYR0;khellven;Khellven;Khellven;;;D;176;01KNDAWE6ZYSSJRVV5EMGMPBWY;2001-02-25;sofascore;984896;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T22:47:40.536Z
01KNDAWE7RXY3ZN5AFB5ECFJHW;mauricio;Mauricio;Mauricio;;;M;174;01KNDAWE72WDG4511TFAHRP1QP;2001-06-22;sofascore;986233;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T22:47:40.536Z
01KNDAWE7RYRPRYG2KQA2T3Q0C;gustavo-gomez;Gustavo Gómez;G. Gómez;;;D;185;01KNDAWE72WDG4511TFAHRP1QP;1993-05-06;sofascore;220833;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T22:47:40.536Z
01KNDAWE7RZ63EVHXXXFQN3T1H;lyanco;Lyanco;Lyanco;;;D;187;01KNDAWE6ZYSSJRVV5EMGMPBWY;1997-02-01;sofascore;797893;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T22:47:40.536Z
01KNDAWE7S0QJW7KEB6THWHDH3;larson;Larson;Larson;Larson;;M;183;01KNDAWE6ZYSSJRVV5EMGMPBWY;2005-07-10;sofascore;2057364;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T22:47:40.537Z
01KNDAWE7S17HCHYRT0KDBD4A6;arthur-gabriel;Arthur Gabriel;A. Gabriel;;;D;176;01KNDAWE6ZYSSJRVV5EMGMPBWY;2005-09-04;sofascore;1633501;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T22:47:40.537Z
01KNDAWE7S1Q7SJQVSSTNF8DG2;riquelme-fillipi;Riquelme Fillipi;Riquelme;;;F;176;01KNDAWE6ZYSSJRVV5EMGMPBWY;2006-09-15;sofascore;1485294;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z
01KNDAWE7S4CXY0PC25F1FW7GK;lucas-evangelista;Lucas Evangelista;L. Evangelista;;;M;181;01KNDAWE6ZYSSJRVV5EMGMPBWY;1995-05-06;sofascore;331397;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T22:47:40.537Z
01KNDAWE7S54F5TP4N05H39NX9;bruno-fuchs;Bruno Fuchs;B. Fuchs;;;D;190;01KNDAWE6ZYSSJRVV5EMGMPBWY;1999-04-01;sofascore;973737;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T22:47:40.537Z
01KNDAWE7S69FQE1BRS53456H6;vitor-roque;Vitor Roque;V. Roque;Vitor Roque;;F;174;01KNDAWE6ZYSSJRVV5EMGMPBWY;2005-02-28;sofascore;1150391;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T22:47:40.537Z
01KNDAWE7S7059WXW1VFKZJJ6G;agustin-giay;Agustín Giay;A. Giay;Agustín Giay;;D;180;01KNDAWE719PKXHTFZQDZBEK5Z;2004-01-16;sofascore;1106603;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T22:47:40.537Z
01KNDAWE7SA02P1KVPCTWPF4QB;luighi-hanri;Luighi Hanri;Luighi;Luighi;;F;182;01KNDAWE6ZYSSJRVV5EMGMPBWY;2006-04-30;sofascore;1597267;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z
01KNDAWE7SCGY1RQD5K6A7KX6S;jefte;Jefté;Jefté;Jefté;;D;183;01KNDAWE6ZYSSJRVV5EMGMPBWY;2003-12-21;sofascore;1116665;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T22:47:40.537Z
01KNDAWE7SH0N38BEFKMR7RYKJ;vitor-figueiredo;Vitor Figueiredo;V. Figueiredo;Vitor Figueiredo;;M;178;01KNDAWE6ZYSSJRVV5EMGMPBWY;2006-03-03;sofascore;1942460;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T22:47:40.537Z
01KNDAWE7SN4ZATM9VSRFN127J;emiliano-martinez;Emiliano Martínez;E. Martínez;;;M;184;01KNDAWE73AT2NMCQGRWAZM40H;1999-08-17;sofascore;973533;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T22:47:40.537Z
01KNDAWE7SR1BYBYX2X8TC5837;luis-pacheco;Luis Pacheco;L. F. Pacheco;Luis;Pacheco;M;180;01KNDAWE6ZYSSJRVV5EMGMPBWY;2008-02-02;sofascore;1884646;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z
01KNDAWE7STB8ZAHYVN8R0GH8X;jose-lopez;José López;J. López;José López;;F;188;01KNDAWE719PKXHTFZQDZBEK5Z;2000-12-06;sofascore;1094179;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T22:47:40.537Z
01KNDAWE7SWEJE47DXBFMFA0SR;marcelo-lomba;Marcelo Lomba;M. Lomba;;;G;187;01KNDAWE6ZYSSJRVV5EMGMPBWY;1986-12-18;sofascore;34141;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T22:47:40.537Z
01KNDAWE7SWXDYRM2E03V5GV6V;raphael-veiga;Raphael Veiga;R. Veiga;;;M;176;01KNDAWE6ZYSSJRVV5EMGMPBWY;1995-06-19;sofascore;840020;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T22:47:40.537Z
01KNDAWE7SY94D74ZQER1BS0KE;felipe-anderson;Felipe Anderson;F. Anderson;;;M;175;01KNDAWE6ZYSSJRVV5EMGMPBWY;1993-04-15;sofascore;152276;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T22:47:40.537Z
01KNDAWE7SZ4RV7QVXW8PJ460S;paulinho;Paulinho;Paulinho;;;F;175;01KNDAWE6ZYSSJRVV5EMGMPBWY;2000-07-15;sofascore;885179;2026-04-04T22:47:40.537Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.537Z;2026-04-04T22:47:40.537Z
